사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202309,2호선,역삼,41,3,3450,5807,8981,39536,15247,138093,25688,333300,23547,273727,23786,122379,32557,60695,40701,54544,48829,58412,58005,47145,77135,40816,97704,41964,205183,48956,252336,56607,137666,34850,79619,21655,73589,18062,49396,15466,19400,9317,3011,2832,3,91,0,0,0,0,20231003
202309,2호선,영등포구청,24,2,5349,3311,12520,13442,37706,36105,46474,110395,28979,46627,22107,25922,23501,22904,25930,24008,25878,25758,28014,24755,28979,25895,35577,29006,52767,37624,92145,52436,33327,35558,24875,21478,22966,20125,17129,17697,7945,12161,1341,4203,2,316,0,0,0,0,20231003
202309,2호선,왕십리(성동구청),892,2,6273,999,9698,7238,24366,13257,41921,26329,26750,18058,18349,14903,18346,15775,21564,17533,21466,18736,22237,19036,25166,20888,31872,24838,34447,34305,34613,52394,23103,33068,22008,21316,25088,19035,25552,18591,14713,11743,2824,4911,6,164,0,0,0,0,20231003
202309,2호선,용답,13,0,2348,382,3103,1052,8602,1687,12756,3995,7118,5564,5126,3588,4465,2814,4722,3197,4961,3831,4291,3521,4971,4322,5928,5879,5431,6706,4174,10892,2833,7152,2027,5131,1510,6019,1515,5699,516,3503,97,962,0,0,0,0,0,0,20231003
202309,2호선,용두(동대문구청),48,1,1159,111,2046,1015,5309,2882,9090,5365,5249,3813,4010,3802,4132,3579,4370,3366,4152,4041,4299,4166,4558,4717,5077,4717,5122,5138,5438,7866,2728,5321,1816,3228,1378,3135,821,2325,342,1455,51,508,0,6,0,0,0,0,20231003
202309,2호선,을지로3가,20,2,1231,1682,2529,17879,6117,65090,12801,164308,17203,66764,20007,30688,22838,26046,24138,24394,27338,26749,31936,24079,36057,24521,44372,27586,85785,34350,128154,39363,53720,25055,39883,15938,42256,13518,37210,11529,21925,7447,3551,2043,5,80,0,0,0,0,20231003
202309,2호선,을지로4가,17,2,993,1288,2162,12918,5621,33275,11005,74030,12484,38026,15483,25089,18067,24562,19591,22303,21881,21694,24300,20307,26933,19191,33689,18411,56340,18393,63446,18596,28045,12271,17015,8200,14665,8005,9789,7813,5080,5306,972,1664,4,63,0,0,0,0,20231003
202309,2호선,을지로입구,33,0,2745,2687,4435,27046,10437,122190,19322,316327,26874,152382,32236,81333,41448,66948,45530,60573,56604,61190,64876,55531,79138,53870,94391,58170,164150,64611,261219,64881,120977,41487,117062,27892,75987,24676,59521,21079,25598,12406,3206,4649,7,577,0,0,0,0,20231003
202309,2호선,이대,31,1,3793,827,9070,6220,27942,15031,35182,43163,23340,51359,18822,41197,20991,26922,28152,29979,28298,32312,28071,24698,36571,25774,39090,27778,50698,35252,42682,47096,26721,31974,22481,22357,22427,22096,16428,23007,6263,16483,869,4418,1,136,0,0,0,0,20231003
202309,2호선,잠실(송파구청),95,3,12579,4877,45622,33670,109444,75278,156780,164253,118813,151081,80803,113818,79709,115102,89612,112458,98637,115064,107282,113313,123241,125986,148604,139691,184835,178269,218821,224906,152455,146286,154861,95491,136650,88960,95582,80596,29758,43740,4063,10244,5,508,0,0,0,0,20231003
